id,sentence,target
385,"  a romantic comedy , yes , but one with characters who think and talk about their goals , and are working on hard",+
386,"  as dumb and cheesy as they may be , the cartoons look almost shakespearean both in depth and breadth after watching this digital effects heavy , supposed family friendly comedy",-
387,"  mostly , and co writer lack a strong minded , or a sense of humor",-
388,  the draw for big bad love is a solid performance by howard,+
389,"  at times , the suspense is palpable , but by the end there 's a sense that the of the mystery hinges on a that strains and leaves the viewer haunted by the waste of potential",-
390,"  there are deeply religious and spiritual people in this world who would argue that a church , or does n't mean you have to check your brain at the door the same should go for movie theaters",-
391,"  we have poignancy against farce , thoughtful dialogue aside by one liners , and a visual style that animation for no apparent reason except , maybe , that it looks neat",-
392,  adventure is a film that fights a good fight on of the world 's and it lets the pictures do the punching,+
393,"  you may leave the theater with more questions than answers , but darned if your toes wo n't still be tapping",+
394,  fessenden 's narrative is just as much about the and of as it is about a domestic finding their way to joy,+
395,  it has plenty of laughs it just does n't have much else especially in a moral sense,-
396,"  a family film that contains some hefty thematic material on time , death , , and what is needed to live a rich and full life",+
397,  horrible,-
398,  a thoroughly entertaining comedy that uses grant 's own twist of to prevent itself from to its own bathos,+
399,"  a sour attempt at making a farrelly brothers style , down and dirty for the female set",-
400,"  schmaltzy and unfunny , adam sandler 's cartoon about is numbingly bad , little bad , 10 worst list bad",-
401,"  when the backdrops in a movie are more alive than its characters , you know you 're in trouble",-
402,"  when you a dead man , hard copy should come a , no ?",-
403,"  the movie is silly beyond comprehension , and even if it were n't silly , it would still be beyond comprehension",-
404,  any enjoyment will be from a personal of watching sad but endearing characters do extremely unconventional things,-
405,"  imagine kevin smith , the bad boy of suburban jersey , if he were stripped of most of his budget and all of his sense of humor the result might look like vulgar",-
406,"  a horror movie with seriously dumb characters , which somewhat the pleasure of watching them by creepy bug things that live only in the darkness",-
407,"  extreme oops oops , ops , no matter how you spell it , it 's still a mistake to go see it",-
408,  a of cliches,-
409,  no amount of good acting is enough to save oleander 's uninspired story,-
410,"  as a nod to some neglected all stars , standing in the shadows of motown is cultural history of the best kind informative , revealing and richly entertaining",+
411,"  it takes a certain kind of horror movie to qualify as ` worse than expected , ' but ghost ship somehow manages to do exactly that",-
412,"  with few , marshall keeps the energy , and his edits , unlike those in rouge , are crisp and without it",+
413,"  like so many other allegedly scary movies , it gets so tangled up in the twist that it chokes the energy right out of the very audience it to frighten",-
414,  this movie got me there 's a part of us that can not help be entertained by the sight of someone getting away with something,+
415,"  a modestly comic , modestly action oriented world war ii adventure that , in terms of authenticity , is one of those films that requires the enemy to never shoot straight",-
